"abdt","female","black","hispanic","othrace","dep","q1","q2","q3","q4","q5","q6","recall","agelt35","agegt54","durable","nondurable","lusd","husd","muld","c1","c2","ate","var_ate"
10824,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.301945831595365,0.336855219832837,-0.0406628138832782,0.00530672022812744
10635,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1.08407001984165,-0.908778288520855,-0.197184634144117,0.0298126184202583
10551,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3.84851456124107,-0.439858089866809,-0.0264015156617801,0.00897655980149067
10824,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.647623506064972,0.629282728325412,0.0496590964116915,0.0299217235265096
10747,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.317313633993848,-0.405387341035031,-0.0373313779655686,0.0171739227359927
10544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.90392781548596,-0.257068816198797,0.0373584667468452,0.00935676083238648
10845,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-1.60434808492581,0.622798714165492,-0.194630568406068,0.00809065704553336
10670,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0982690203669936,1.0469579552908,-0.191746043545989,0.00966335740491992
10768,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5446900709849,1.33316461650284,-0.106276422979824,0.0242076476620568
10754,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.55726322464137,1.2798546555227,-0.13138670193515,0.0191733570631442
10712,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.755985484886699,0.93621709983262,-0.143001607459296,0.0162681634082719
10607,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.54012708542622,0.278071816116165,-0.0980807897673071,0.0344606327624384
10831,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.941041515825287,0.394273636120076,-0.0221364186170834,0.0246459268073221
10845,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.93391980733608,0.713228432496719,-0.0302397495753291,0.0295875814326879
10831,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.11294720543573,0.74185563416341,0.0446774619278796,0.0338538219476786
10551,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,-0.920811135249221,-2.23422108135734,-0.378859882260191,0.0290908085217641
10859,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.69682785057762,1.81191770117177,0.0681932205624925,0.0215629586490191
10740,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.383948240081716,0.0969489932389288,0.0017311589264844,0.00910540660322286
10537,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1.29812382783447,-1.32515334978042,-0.131001120481278,0.0129116168255276
10663,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.04571241388128,-1.16803048201559,-0.0353191274092735,0.00743845340566221
10656,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00138934249296641,-0.660427228773711,-0.146925008357917,0.0216059060994419
10628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.378878032465214,0.444485713216483,-0.021648587563026,0.010155594707007
10516,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.772344304057371,-1.29204177528598,0.00725194192455946,0.0154772661414782
10803,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.349963881554666,0.458132942539357,0.0892136781351964,0.0129596455266672
10663,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.42905156510731,-0.711728648229365,-0.117899899383459,0.00466465507863877
10747,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1.43170763186882,2.05510535534341,0.0444434486581245,0.0175958528620611
10551,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.246300324531302,-0.418635223938705,-0.0906998816027087,0.00972445347104137
10635,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.21586163689545,-0.457212343420359,-0.172344603168294,0.0195830727447143
10761,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.748955008923966,0.854943690912275,0.0464902742936886,0.0124663637333123
10586,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.945118546238768,0.731609982393289,-0.0474810443174187,0.010392319440059
10859,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2.09189390484394,2.37913451152941,-0.0534476765427563,0.00777423287267254
10768,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.52186877954916,1.71349367370327,0.177152317501107,0.0285271861391379
10537,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.60518968956152,0.245267518075163,-0.00303425256806186,0.0138142292875061
10768,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-2.01808449624073,-0.373053339382745,0.182970845924052,0.012562906630219
10845,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.738307243418302,0.430048605673167,-0.0808986633856196,0.0180922128845187
10789,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.390478991052739,-0.785424935509075,-0.15882774519271,0.0169844165994186
10705,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1.21745902140058,-0.651766179605554,-0.217880345056279,0.0701885527295962
10775,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.0848208411648367,1.73616789149223,0.0273782941094059,0.0354371297573329
10600,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.247294521036625,-0.590487245870698,-0.133609815703146,0.0133410461191064
10572,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.469437712601026,0.210156302248558,-0.0714076726385276,0.0279694897002213
10649,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1.23656363907699,-0.460573835503782,-0.0256289802506073,0.0124053530017468
10866,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1.56681070091322,1.11231946542219,-0.10415668873562,0.0170385716709219
10866,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.352181339695756,1.40905352097167,-0.0439263778982504,0.027382864702484
10558,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.696018007844356,-0.745709955993036,-0.176376111346786,0.02214369189427
10747,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.921022601530947,-0.766523567804301,-0.115646395597055,0.0162276644795494
10642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.366304878808744,0.497795674196618,0.0886607786964467,0.0349174083737667
10642,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-0.111628939534952,-0.97330815234664,-0.0150584322235796,0.03241264848425
10614,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.557905430564867,0.473112914883174,-0.0582422313937863,0.028678878015504
10572,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.692893369956895,-1.28004459554216,-0.0117819698054519,0.00755380178385178
10663,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.06698475674634,-1.07684563769974,-0.150385629624431,0.0138066785320017
10684,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.01241118720977,-0.306792736309775,-0.120285391964538,0.0278333579366313
10656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0250962168002989,-0.724829399993494,-0.230033347894391,0.0154029962239719
10866,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.413777819069936,1.67018656338489,0.148859786574915,0.0420616069839199
10656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.165064901950217,-0.742364391420537,-0.259741369913526,0.0234933793430061
10614,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.20556304790556,-0.738419949067289,-0.270515923986509,0.0382640346145361
